address	name	namespace	reference_count	references
EXTERNAL:00000063	XRENGINE.EXE::?LastMaterialPair@CGameMtlLibrary@@QAE?AV?$_Vector_iterator@V?$_Vector_val@U?$_Simple_types@PAUSGameMtlPair@@@std@@@std@@@std@@XZ	XRENGINE.EXE	1	1057ccd0
EXTERNAL:00000064	XRENGINE.EXE::?FirstMaterialPair@CGameMtlLibrary@@QAE?AV?$_Vector_iterator@V?$_Vector_val@U?$_Simple_types@PAUSGameMtlPair@@@std@@@std@@@std@@XZ	XRENGINE.EXE	1	1057ccd4
EXTERNAL:00000065	XRENGINE.EXE::?g_loading_events@@3V?$list@ULOADING_EVENT@@V?$xalloc@ULOADING_EVENT@@@@@std@@A	XRENGINE.EXE	1	1057ccd8
EXTERNAL:00000066	XRENGINE.EXE::?net_Import@CObjectList@@QAEXPAVNET_Packet@@@Z	XRENGINE.EXE	1	1057ccdc
EXTERNAL:00000067	XRENGINE.EXE::?destroy_particles@IGame_Persistent@@QAEXAB_N@Z	XRENGINE.EXE	1	1057cce0
EXTERNAL:00000068	XRENGINE.EXE::?net_Stop@IGame_Level@@UAEXXZ	XRENGINE.EXE	1	1057cce4
EXTERNAL:00000069	XRENGINE.EXE::?net_Export@CObjectList@@QAEIPAVNET_Packet@@II@Z	XRENGINE.EXE	1	1057cce8
EXTERNAL:0000006a	XRENGINE.EXE::?Update@CObjectList@@QAEX_N@Z	XRENGINE.EXE	1	1057ccec
EXTERNAL:0000006b	XRENGINE.EXE::?CountMaterial@CGameMtlLibrary@@QAEIXZ	XRENGINE.EXE	1	1057ccf0
EXTERNAL:0000006c	XRENGINE.EXE::?LastMaterial@CGameMtlLibrary@@QAE?AV?$_Vector_iterator@V?$_Vector_val@U?$_Simple_types@PAUSGameMtl@@@std@@@std@@@std@@XZ	XRENGINE.EXE	1	1057ccf4
EXTERNAL:0000006d	XRENGINE.EXE::?FirstMaterial@CGameMtlLibrary@@QAE?AV?$_Vector_iterator@V?$_Vector_val@U?$_Simple_types@PAUSGameMtl@@@std@@@std@@@std@@XZ	XRENGINE.EXE	1	1057ccf8
EXTERNAL:0000006e	XRENGINE.EXE::?g_consoleBindCmds@@3VConsoleBindCmds@@A	XRENGINE.EXE	1	1057ccfc
EXTERNAL:0000006f	XRENGINE.EXE::?IR_GetKeyState@IInputReceiver@@QAEHH@Z	XRENGINE.EXE	1	1057cd00
EXTERNAL:00000070	XRENGINE.EXE::?execute@ConsoleBindCmds@@QAE_NH@Z	XRENGINE.EXE	1	1057cd04
EXTERNAL:00000071	XRENGINE.EXE::?_RayQuery@CCF_Shape@@UAEHABUray_defs@collide@@AAVrq_results@3@@Z	XRENGINE.EXE	1	1057cd08
EXTERNAL:00000072	XRENGINE.EXE::??1CCF_Shape@@UAE@XZ	XRENGINE.EXE	1	1057cd0c
EXTERNAL:00000073	XRENGINE.EXE::?ComputeBounds@CCF_Shape@@QAEXXZ	XRENGINE.EXE	1	1057cd10
EXTERNAL:00000074	XRENGINE.EXE::?add_box@CCF_Shape@@QAEXAAU?$_matrix@M@@@Z	XRENGINE.EXE	1	1057cd14
EXTERNAL:00000075	XRENGINE.EXE::?add_sphere@CCF_Shape@@QAEXAAU?$_sphere@M@@@Z	XRENGINE.EXE	1	1057cd18
EXTERNAL:00000076	XRENGINE.EXE::??0CCF_Shape@@QAE@PAVCObject@@@Z	XRENGINE.EXE	1	1057cd1c
EXTERNAL:00000077	XRENGINE.EXE::?_ElementCenter@CCF_Skeleton@@QAE_NGAAU?$_vector3@M@@@Z	XRENGINE.EXE	1	1057cd20
EXTERNAL:00000078	XRENGINE.EXE::?ProcessCam@CDemoPlay@@UAEHAAUSCamEffectorInfo@@@Z	XRENGINE.EXE	1	1057cd24
EXTERNAL:00000079	XRENGINE.EXE::?AppendItem@CStatGraph@@QAEXMII@Z	XRENGINE.EXE	1	1057cd28
EXTERNAL:0000007a	XRENGINE.EXE::??1CDemoPlay@@UAE@XZ	XRENGINE.EXE	1	1057cd2c
EXTERNAL:0000007b	XRENGINE.EXE::??0CDemoPlay@@QAE@PBDMIM@Z	XRENGINE.EXE	1	1057cd30
EXTERNAL:0000007c	XRENGINE.EXE::?OnRender@IGame_Level@@UAEXXZ	XRENGINE.EXE	1	1057cd34
EXTERNAL:0000007d	XRENGINE.EXE::?OnFrame@IGame_Level@@UAEXXZ	XRENGINE.EXE	1	1057cd38
EXTERNAL:0000007e	XRENGINE.EXE::?Load@IGame_Level@@UAEHI@Z	XRENGINE.EXE	1	1057cd3c
EXTERNAL:0000007f	XRENGINE.EXE::??1IGame_Level@@UAE@XZ	XRENGINE.EXE	1	1057cd40
EXTERNAL:00000080	XRENGINE.EXE::??0IGame_Level@@QAE@XZ	XRENGINE.EXE	1	1057cd44
EXTERNAL:00000081	XRENGINE.EXE::?Peek@CEventAPI@@QAEHPBD@Z	XRENGINE.EXE	1	1057cd48
EXTERNAL:00000082	XRENGINE.EXE::?GetBindedAction@@YA?AW4EGameActions@@H@Z	XRENGINE.EXE	1	1057cd4c
EXTERNAL:00000083	XRENGINE.EXE::?time_to_next_mark@motion_marks@@QBEMM@Z	XRENGINE.EXE	1	1057cd50
EXTERNAL:00000084	XRENGINE.EXE::?bShowPauseString@@3HA	XRENGINE.EXE	1	1057cd54
EXTERNAL:00000085	XRENGINE.EXE::?psHUD_FOV@@3MA	XRENGINE.EXE	1	1057cd58
EXTERNAL:00000086	XRENGINE.EXE::??1CCustomHUD@@UAE@XZ	XRENGINE.EXE	1	1057cd5c
EXTERNAL:00000087	XRENGINE.EXE::??0CCustomHUD@@QAE@XZ	XRENGINE.EXE	1	1057cd60
