address	length	value
100190d0	43	?FlushSendBuffer@MultipacketSender@@QAEXI@Z
100190fc	42	?Flush_Clients_Buffers@IPureServer@@UAEXXZ
10019127	38	?Flush_Send_Buffer@IPureClient@@UAEXXZ
1001914e	50	?GameDescriptionRecieved@IPureSteamClient@@AAE_NXZ
10019181	113	?GetAddressFromExternalService@IPureSteamClient@@CA?AV?$basic_string@DU?$char_traits@D@std@@V?$xalloc@D@@@std@@XZ
100191f3	68	?GetBannedClient@IPureServer@@QAEPAVIBannedClient@@ABUip_address@@@Z
10019238	40	?GetBannedListName@IPureServer@@QAEPBDXZ
10019261	80	?GetClientAddress@IPureServer@@QAE_NPAUIDirectPlay8Address@@AAUip_address@@PAK@Z
100192b2	67	?GetClientAddress@IPureServer@@QAE_NVClientID@@AAUip_address@@PAK@Z
100192f6	59	?GetClientAddress@IPureSteamServer@@QAE_NIAAUip_address@@@Z
10019332	72	?GetClientAddress@IPureSteamServer@@QAE_NVClientID@@AAUip_address@@PAK@Z
1001937b	56	?GetClientByID@IPureServer@@QAEPAVIClient@@VClientID@@@Z
100193b4	44	?GetClientID@IPureClient@@QAEABVClientID@@XZ
100193e1	52	?GetClientPendig@IPureSteamServer@@QAEHVClientID@@@Z
10019416	80	?GetClientStatistic@IPureSteamServer@@QAEXVClientID@@PAU_DPN_CONNECTION_INFO@@@Z
10019467	53	?GetClientSteamID@IPureServer@@QAE_NVClientID@@AA_K@Z
1001949d	48	?GetClientSteamID@IPureSteamServer@@QAE_NIAA_K@Z
100194ce	36	?GetClientsCount@IPureServer@@QAEIXZ
100194f3	52	?GetConnectOptions@IPureServer@@QBEABVshared_str@@XZ
10019528	44	?GetCurrentBatteryPower@CSteamHelper@@QBEEXZ
10019555	40	?GetImageRGBA@CSteamHelper@@QAE_NHPAEH@Z
1001957e	40	?GetImageSize@CSteamHelper@@QAE_NHPAI0@Z
100195a7	44	?GetLargeFriendAvatar@CSteamHelper@@QAEH_K@Z
100195d4	45	?GetMediumFriendAvatar@CSteamHelper@@QAEH_K@Z
10019602	37	?GetMsgId2Name@IPureClient@@UAEPBDG@Z
10019628	28	?GetPort@IPureServer@@QAEHXZ
10019645	56	?GetServerAddress@IPureClient@@QAE_NAAUip_address@@PAK@Z
1001967e	60	?GetServerAddress@IPureSteamClient@@QAEXAAUip_address@@PAK@Z
100196bb	47	?GetServerClient@IPureServer@@QAEPAVIClient@@XZ
100196eb	50	?GetServerInfo@IPureServer@@UAEXPAVCServerInfo@@@Z
1001971e	38	?GetServerSteamID@IPureClient@@QBE_KXZ
10019745	43	?GetServerSteamID@IPureSteamClient@@QAE_KXZ
10019771	44	?GetSmallFriendAvatar@CSteamHelper@@QAEH_K@Z
1001979e	53	?GetStatistic@IPureClient@@QAEAAVIClientStatistic@@XZ
100197d4	53	?GetStatistic@IPureServer@@QAEPBVIServerStatistic@@XZ
1001980a	44	?GetSteamID@CSteamHelper@@QAE?AVCSteamID@@XZ
10019837	129	?GetTemporaryAvatarTextureName@CSteamHelper@@QAE?AV?$basic_string@DU?$char_traits@D@std@@V?$xalloc@D@@@std@@_KW4eAvatarSize@@_N@Z
100198b9	51	?HandleAwaitingConnections@IPureSteamServer@@AAEXXZ
100198ed	88	?HandleConnection@IPureSteamServer@@AAEXPAUSteamNetConnectionStatusChangedCallback_t@@@Z
10019946	56	?HandleHandshake@IPureSteamServer@@AAEXPAUHANDSHAKE@@I@Z
1001997f	49	?HandleNetDescription@IPureSteamClient@@AAEXPAX@Z
100199b1	45	?HasBandwidth@IPureServer@@QAEHPAVIClient@@@Z
100199df	37	?HasClient@IPureSteamServer@@QAE_NI@Z
10019a05	57	?ID_to_client@IPureServer@@QAEPAVIClient@@VClientID@@_N@Z
10019a3f	60	?InitSteam@CSteamHelper@@QAE_NPAUSteamNetworkingIdentity@@@Z
10019a7c	77	?InsertNetworkMessageToQueue@IPureServer@@QAEXPAUSteamNetworkingMessage_t@@@Z
10019aca	32	?IpList_Load@IPureServer@@QAEXXZ
10019aeb	34	?IpList_Unload@IPureServer@@QAEXXZ
10019b0e	38	?IsLoadingStarted@IPureServer@@QBE_NXZ
10019b35	39	?IsPlayerIPDenied@IPureServer@@QAE_NI@Z
10019b5d	31	?IsRetail@CSteamHelper@@QBE_NXZ
10019b7d	26	?Kill@CSteamHelper@@QAEXXZ
10019b98	53	?LegacyClient@IPureSteamClient@@AAEPAVIPureClient@@XZ
10019bce	53	?LegacyServer@IPureSteamServer@@AAEPAVIPureServer@@XZ
10019c04	26	?Load@CSteamHelper@@QAEXXZ
10019c1f	55	?Load@IBannedClient@@QAEXAAVCInifile@@ABVshared_str@@@Z
10019c6f	56	?NET@IPureSteamClient@@QAEPAVISteamNetworkingSockets@@XZ
10019ca8	56	?NET@IPureSteamServer@@QAEPAVISteamNetworkingSockets@@XZ
10019ce1	35	?NET_Start@IPureSteamClient@@AAEXXZ
10019d05	35	?NET_Start@IPureSteamServer@@AAEXXZ
10019d29	60	?OnAvatarLoaded@CSteamHelper@@QAEXPAUAvatarImageLoaded_t@@@Z
10019d66	47	?OnCL_Connected@IPureServer@@UAEXPAVIClient@@@Z
10019d96	50	?OnCL_Disconnected@IPureServer@@UAEXPAVIClient@@@Z
