address	length	value
106c0748	54	?DisconnectClient@IPureServer@@UAE_NPAVIClient@@HPBD@Z
106c0782	29	??0IClient@@QAE@PAVCTimer@@@Z
106c07a2	18	??1IClient@@UAE@XZ
106c07b8	49	?ApplyRecievedNetworkMessages@IPureServer@@QAEXXZ
106c07ec	37	?UpdateBannedList@IPureServer@@QAEXXZ
106c0814	34	??0IPureServer@@QAE@PAVCTimer@@H@Z
106c083a	22	??1IPureServer@@UAE@XZ
106c0854	56	?OnMessage@IPureServer@@UAEIAAVNET_Packet@@VClientID@@@Z
106c0890	45	?HasBandwidth@IPureServer@@QAEHPAVIClient@@@Z
106c08c0	68	?GetBannedClient@IPureServer@@QAEPAVIBannedClient@@ABUip_address@@@Z
106c0908	31	?Disconnect@IPureServer@@UAEXXZ
106c0928	15	xrNetServer.dll
106c0a00	24	_destroy_physics_shell@4
106c0a30	41	?actor_camera_shell@@3PAVCPhysicsShell@@A
106c0ba0	18	?phTimefactor@@3MA
106c0c78	55	?DestroyStaticGeomShell@@YAXAAPAVIPHStaticGeomShell@@@Z
106c0d6c	67	?ApplySpawnIniToPhysicShell@@YAXPBVCInifile@@PAVCPhysicsShell@@_N@Z
106c0f4e	25	?destroy@CODEGeom@@QAEXXZ
106c107a	36	?phBreakCommonFactor@ph_console@@2MA
106c10a2	41	?phRigidBreakWeaponFactor@ph_console@@2MA
106c11b6	24	_destroy_physics_world@0
106c132c	48	?create_actor_character@@YAPAVCPHCharacter@@_N@Z
106c13ce	42	?phcapture_destroy@@YAXAAPAVIPHCapture@@@Z
106c1614	20	?psSoundVFactor@@3MA
106c18ca	29	?VivoxConnect@CVoice@@QAEXI@Z
106c190e	31	?SetServerHash@CVoice@@QAEX_K@Z
106c228a	23	__std_exception_destroy
106c2330	28	__std_type_info_destroy_list
106c2cec	20	RegisterEventSourceA
106c2d04	12	ReportEventA
106c2d14	21	DeregisterEventSource
