address	name	namespace	reference_count	references
EXTERNAL:00000072	VCRUNTIME140.DLL::__CxxFrameHandler3	VCRUNTIME140.DLL	2	10015114,1001401b
EXTERNAL:00000073	API-MS-WIN-CRT-STDIO-L1-1-0.DLL::fclose	API-MS-WIN-CRT-STDIO-L1-1-0.DLL	5	10015184,10005c27,100052f8,10007c66,10005d4c
EXTERNAL:00000074	API-MS-WIN-CRT-STDIO-L1-1-0.DLL::fwrite	API-MS-WIN-CRT-STDIO-L1-1-0.DLL	7	10015188,10005d1c,10005d38,10005d49,10005bff,10005c1a,10005c24
EXTERNAL:00000075	API-MS-WIN-CRT-STDIO-L1-1-0.DLL::__stdio_common_vsscanf	API-MS-WIN-CRT-STDIO-L1-1-0.DLL	3	1001518c,10001b12,10009d8e
EXTERNAL:00000076	API-MS-WIN-CRT-STDIO-L1-1-0.DLL::__stdio_common_vsnprintf_s	API-MS-WIN-CRT-STDIO-L1-1-0.DLL	2	10015190,10009d51
EXTERNAL:00000077	API-MS-WIN-CRT-STDIO-L1-1-0.DLL::__stdio_common_vfprintf	API-MS-WIN-CRT-STDIO-L1-1-0.DLL	2	10015194,10006d37
EXTERNAL:00000078	API-MS-WIN-CRT-STDIO-L1-1-0.DLL::fopen	API-MS-WIN-CRT-STDIO-L1-1-0.DLL	4	10015198,100052c2,10005bdb,10005cf8
EXTERNAL:00000079	API-MS-WIN-CRT-STRING-L1-1-0.DLL::strncmp	API-MS-WIN-CRT-STRING-L1-1-0.DLL	2	100151a0,1000295e
EXTERNAL:0000007a	API-MS-WIN-CRT-STRING-L1-1-0.DLL::strncpy_s	API-MS-WIN-CRT-STRING-L1-1-0.DLL	22	100151a4,1000432f,1000434f,10007f68,10007f7d,1000a5e8,1000a5fb,1000c07f,1000c094,1000429d,100043ae,10004430,1000448b,1000450a,1000444f,100043cd,100052b0,10007ef1,10008010,10008093,100080a7,10008024
EXTERNAL:0000007b	API-MS-WIN-CRT-CONVERT-L1-1-0.DLL::atol	API-MS-WIN-CRT-CONVERT-L1-1-0.DLL	5	10015130,1000453a,100044bb,100080b4,10008031
EXTERNAL:0000007c	API-MS-WIN-CRT-CONVERT-L1-1-0.DLL::strtoull	API-MS-WIN-CRT-CONVERT-L1-1-0.DLL	2	10015134,1000a1bb
EXTERNAL:0000007d	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL::configure_narrow_argv	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	2	10015144,10014039
EXTERNAL:0000007e	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL::terminate	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	4	10015148,10009ef6,1000417a,1000a6c3
EXTERNAL:0000007f	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL::initterm_e	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	2	1001514c,10014069
EXTERNAL:00000080	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL::initterm	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	2	10015150,10014063
EXTERNAL:00000081	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL::_cexit	API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL	2	10015154,1001405d
